nombre,genero,edad,altura,continente,medalla
Giuseppe Abbagnale,M,33,187,Europa,Plata
Monica Cecilia Abbott,F,23,191,América,Oro
Nia Nicole Abdallah,F,20,175,América,Bronce
Muhammad Abdul Rashid,M,23,181,Asia,Bronce
Namiq Yadulla Abdullayev,M,25,167,Asia,Bronce
Yusup Abdusalomov,M,30,170,África,Bronce
Max Abegglen,M,22,173,Europa,Plata
Clarence John Abel,M,23,185,América,Oro
Irene Abel,F,19,160,Oceanía,Oro
Elvan Abeylegesse,F,25,159,Asia,Bronce
Nelli Abramova,F,24,171,Asia,Plata
Domingo Villanueva,M,21,183,Europa,Bronce